Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q8TBB0	reviewed	THAP6_HUMAN	THAP domain-containing protein 6	THAP6	Homo sapiens (Human)	222
Q8TBB1	reviewed	LNX1_HUMAN	E3 ubiquitin-protein ligase LNX, EC 2.3.2.27 (Ligand of Numb-protein X 1) (Numb-binding protein 1) (PDZ domain-containing RING finger protein 2) (RING-type E3 ubiquitin transferase LNX)	LNX1 LNX PDZRN2 UNQ574/PRO1136	Homo sapiens (Human)	728
Q8TBB6	reviewed	S7A14_HUMAN	Probable cationic amino acid transporter (Solute carrier family 7 member 14)	SLC7A14 KIAA1613	Homo sapiens (Human)	771
Q8TBC3	reviewed	SHKB1_HUMAN	SH3KBP1-binding protein 1 (SETA-binding protein 1)	SHKBP1 SB1 PP203	Homo sapiens (Human)	707
Q8TBC4	reviewed	UBA3_HUMAN	NEDD8-activating enzyme E1 catalytic subunit, EC 6.2.1.64 (NEDD8-activating enzyme E1C) (Ubiquitin-activating enzyme E1C) (Ubiquitin-like modifier-activating enzyme 3, Ubiquitin-activating enzyme 3)	UBA3 UBE1C	Homo sapiens (Human)	463
Q8TBC5	reviewed	ZSC18_HUMAN	Zinc finger and SCAN domain-containing protein 18 (Zinc finger protein 447)	ZSCAN18 ZNF447	Homo sapiens (Human)	510
Q8TBE0	reviewed	BAHD1_HUMAN	Bromo adjacent homology domain-containing 1 protein, BAH domain-containing protein 1	BAHD1 KIAA0945	Homo sapiens (Human)	780
Q8TBE1	reviewed	CNIH3_HUMAN	Protein cornichon homolog 3, CNIH-3 (Cornichon family AMPA receptor auxiliary protein 3)	CNIH3	Homo sapiens (Human)	160
Q8TBE3	reviewed	FNDC9_HUMAN	Fibronectin type III domain-containing protein 9	FNDC9 C5orf40	Homo sapiens (Human)	224
Q8TBE7	reviewed	S35G2_HUMAN	Solute carrier family 35 member G2 (Transmembrane protein 22)	SLC35G2 TMEM22	Homo sapiens (Human)	412
Q8TBE9	reviewed	NANP_HUMAN	N-acylneuraminate-9-phosphatase, EC 3.1.3.29 (Haloacid dehalogenase-like hydrolase domain-containing protein 4) (Neu5Ac-9-Pase)	NANP C20orf147 HDHD4	Homo sapiens (Human)	248
Q8TBF2	reviewed	PXL2B_HUMAN	Prostamide/prostaglandin F synthase, Prostamide/PG F synthase, Prostamide/PGF synthase, EC 1.11.1.20 (Peroxiredoxin-like 2B) (Protein FAM213B)	PRXL2B C1orf93 FAM213B	Homo sapiens (Human)	198
Q8TBG4	reviewed	AT2L1_HUMAN	Ethanolamine-phosphate phospho-lyase, EC 4.2.3.2 (Alanine--glyoxylate aminotransferase 2-like 1)	ETNPPL AGXT2L1	Homo sapiens (Human)	499
Q8TBG9	reviewed	SYNPR_HUMAN	Synaptoporin	SYNPR	Homo sapiens (Human)	265
Q8TBJ4	reviewed	PLPR1_HUMAN	Phospholipid phosphatase-related protein type 1 (Inactive 2-lysophosphatidate phosphatase PLPPR1) (Lipid phosphate phosphatase-related protein type 1) (Plasticity-related gene 3 protein, PRG-3)	PLPPR1 LPPR1 PRG3	Homo sapiens (Human)	325
Q8TBJ5	reviewed	FEZF2_HUMAN	Fez family zinc finger protein 2 (Forebrain embryonic zinc finger-like protein 2) (Zinc finger protein 312) (Zinc finger protein Fez-like)	FEZF2 FEZL ZNF312 FKSG36	Homo sapiens (Human)	459
Q8TBK2	reviewed	SETD6_HUMAN	N-lysine methyltransferase SETD6, EC 2.1.1.- (SET domain-containing protein 6)	SETD6	Homo sapiens (Human)	473
Q8TBK6	reviewed	ZCH10_HUMAN	Zinc finger CCHC domain-containing protein 10	ZCCHC10	Homo sapiens (Human)	192
Q8TBM7	reviewed	TM254_HUMAN	Transmembrane protein 254	TMEM254 C10orf57	Homo sapiens (Human)	123
Q8TBM8	reviewed	DJB14_HUMAN	DnaJ homolog subfamily B member 14	DNAJB14 UNQ9427/PRO34683	Homo sapiens (Human)	379
Q8TBN0	reviewed	R3GEF_HUMAN	Guanine nucleotide exchange factor for Rab-3A (Rab-3A-interacting-like protein 1, Rab3A-interacting-like protein 1) (Rabin3-like 1)	RAB3IL1	Homo sapiens (Human)	382
Q8TBP5	reviewed	F174A_HUMAN	Membrane protein FAM174A (Hepatitis C virus NS5A-transactivated protein 6, HCV NS5A-transactivated protein 6) (Transmembrane protein 157)	FAM174A NS5ATP6 TMEM157 UNQ1912/PRO4371	Homo sapiens (Human)	190
Q8TBX8	reviewed	PI42C_HUMAN	Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma, EC 2.7.1.149 (Phosphatidylinositol 5-phosphate 4-kinase type II gamma, PI(5)P 4-kinase type II gamma, PIP4KII-gamma)	PIP4K2C PIP5K2C	Homo sapiens (Human)	421
Q8TBY8	reviewed	PMFBP_HUMAN	Polyamine-modulated factor 1-binding protein 1, PMF-1-binding protein	PMFBP1	Homo sapiens (Human)	1007
Q8TBY9	reviewed	CF251_HUMAN	Cilia- and flagella-associated protein 251 (WD repeat-containing protein 66)	CFAP251 WDR66	Homo sapiens (Human)	1149
Q8TBZ3	reviewed	WDR20_HUMAN	WD repeat-containing protein 20 (Protein DMR)	WDR20	Homo sapiens (Human)	569
Q8TBZ6	reviewed	TM10A_HUMAN	tRNA methyltransferase 10 homolog A, EC 2.1.1.221 (RNA (guanine-9-)-methyltransferase domain-containing protein 2) (tRNA (guanine(9)-N(1))-methyltransferase TRMT10A)	TRMT10A RG9MTD2	Homo sapiens (Human)	339
Q8TBZ8	reviewed	ZN564_HUMAN	Zinc finger protein 564	ZNF564	Homo sapiens (Human)	553
Q8TC05	reviewed	MDM1_HUMAN	Nuclear protein MDM1	MDM1	Homo sapiens (Human)	714
Q8TC07	reviewed	TBC15_HUMAN	TBC1 domain family member 15 (GTPase-activating protein RAB7, GAP for RAB7, Rab7-GAP)	TBC1D15	Homo sapiens (Human)	691
Q8TC12	reviewed	RDH11_HUMAN	Retinol dehydrogenase 11, EC 1.1.1.300 (Androgen-regulated short-chain dehydrogenase/reductase 1) (HCV core-binding protein HCBP12) (Prostate short-chain dehydrogenase/reductase 1) (Retinal reductase 1, RalR1) (Short chain dehydrogenase/reductase family 7C member 1)	RDH11 ARSDR1 PSDR1 SDR7C1 CGI-82	Homo sapiens (Human)	318
Q8TC20	reviewed	CAGE1_HUMAN	Cancer-associated gene 1 protein, CAGE-1 (Cancer/testis antigen 3, CT3)	CAGE1 CTAG3	Homo sapiens (Human)	777
Q8TC29	reviewed	ENKUR_HUMAN	Enkurin	ENKUR C10orf63	Homo sapiens (Human)	256
Q8TC36	reviewed	SUN5_HUMAN	SUN domain-containing protein 5 (Sad1 and UNC84 domain-containing protein 5) (Sperm-associated antigen 4-like protein) (Testis and spermatogenesis-related gene 4 protein)	SUN5 SPAG4L TSARG4	Homo sapiens (Human)	379
Q8TC41	reviewed	RN217_HUMAN	E3 ubiquitin-protein ligase RNF217, EC 2.3.2.31 (IBR domain-containing protein 1) (Opposite STL) (RING finger protein 217)	RNF217 C6orf172 IBRDC1 OSTL	Homo sapiens (Human)	542
Q8TC44	reviewed	POC1B_HUMAN	POC1 centriolar protein homolog B (Pix1) (Proteome of centriole protein 1B) (WD repeat-containing protein 51B)	POC1B WDR51B	Homo sapiens (Human)	478
Q8TC57	reviewed	M1AP_HUMAN	Meiosis 1 arrest protein (Meiosis 1-arresting protein) (Meiosis 1-associated protein) (Spermatogenesis-associated protein 37)	M1AP C2orf65 SPATA37	Homo sapiens (Human)	530
Q8TC59	reviewed	PIWL2_HUMAN	Piwi-like protein 2, EC 3.1.26.- (Cancer/testis antigen 80, CT80)	PIWIL2 HILI	Homo sapiens (Human)	973
Q8TC71	reviewed	MIEAP_HUMAN	Mitochondria-eating protein (Spermatogenesis-associated protein 18)	SPATA18 MIEAP	Homo sapiens (Human)	538
Q8TC84	reviewed	FANK1_HUMAN	Fibronectin type 3 and ankyrin repeat domains protein 1	FANK1 HSD13 UNQ6504/PRO21382	Homo sapiens (Human)	345
Q8TC92	reviewed	ENOX1_HUMAN	Ecto-NOX disulfide-thiol exchanger 1 (Candidate growth-related and time keeping constitutive hydroquinone [NADH] oxidase, cCNOX) (Cell proliferation-inducing gene 38 protein) (Constitutive Ecto-NOX, cNOX) [Includes: Hydroquinone [NADH] oxidase, EC 1.-.-.-; Protein disulfide-thiol oxidoreductase, EC 1.-.-.- ]	ENOX1 PIG38	Homo sapiens (Human)	643
Q8TC94	reviewed	ACTL9_HUMAN	Actin-like protein 9	ACTL9 ACTL7C HSD21	Homo sapiens (Human)	416
Q8TCB7	reviewed	METL6_HUMAN	tRNA N(3)-methylcytidine methyltransferase METTL6, EC 2.1.1.- (Methyltransferase-like protein 6, hMETTL6)	METTL6	Homo sapiens (Human)	284
Q8TCC7	reviewed	S22A8_HUMAN	Solute carrier family 22 member 8 (Organic anion transporter 3, hOAT3)	SLC22A8 OAT3	Homo sapiens (Human)	542
Q8TCD5	reviewed	NT5C_HUMAN	5'(3')-deoxyribonucleotidase, cytosolic type, EC 3.1.3.- (Cytosolic 5',3'-pyrimidine nucleotidase) (Deoxy-5'-nucleotidase 1, dNT-1)	NT5C DNT1 UMPH2	Homo sapiens (Human)	201
Q8TCD6	reviewed	PHOP2_HUMAN	Pyridoxal phosphate phosphatase PHOSPHO2, EC 3.1.3.74	PHOSPHO2	Homo sapiens (Human)	241
Q8TCE6	reviewed	DEN10_HUMAN	DENN domain-containing protein 10 (Protein FAM45A)	DENND10 FAM45A	Homo sapiens (Human)	357
Q8TCE9	reviewed	PPL13_HUMAN	Placental protein 13-like (Charcot-Leyden crystal protein 2, CLC2) (Galectin-14, Gal-14)	LGALS14 PPL13	Homo sapiens (Human)	139
Q8TCF1	reviewed	ZFAN1_HUMAN	AN1-type zinc finger protein 1 (Zinc finger AN1-type-containing protein 1)	ZFAND1	Homo sapiens (Human)	268
Q8TCG1	reviewed	CIP2A_HUMAN	Protein CIP2A (Cancerous inhibitor of PP2A) (p90 autoantigen)	CIP2A KIAA1524	Homo sapiens (Human)	905
Q8TCG2	reviewed	P4K2B_HUMAN	Phosphatidylinositol 4-kinase type 2-beta, EC 2.7.1.67 (Phosphatidylinositol 4-kinase type II-beta, PI4KII-BETA)	PI4K2B	Homo sapiens (Human)	481
Q8TCG5	reviewed	CPT1C_HUMAN	Carnitine O-palmitoyltransferase 1, brain isoform, CPT1-B, EC 2.3.1.21 (CPT IC) (Carnitine O-palmitoyltransferase I, brain isoform, CPTI-B) (Carnitine palmitoyltransferase 1C)	CPT1C CATL1	Homo sapiens (Human)	803
Q8TCI5	reviewed	PIFO_HUMAN	Protein pitchfork	PIFO C1orf88	Homo sapiens (Human)	191
Q8TCJ0	reviewed	FBX25_HUMAN	F-box only protein 25	FBXO25 FBX25	Homo sapiens (Human)	367
Q8TCJ2	reviewed	STT3B_HUMAN	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B, Oligosaccharyl transferase subunit STT3B, STT3-B, EC 2.4.99.18 (Source of immunodominant MHC-associated peptides homolog)	STT3B SIMP	Homo sapiens (Human)	826
Q8TCQ1	reviewed	MARH1_HUMAN	E3 ubiquitin-protein ligase MARCHF1, EC 2.3.2.27 (Membrane-associated RING finger protein 1) (Membrane-associated RING-CH protein I, MARCH-I) (RING finger protein 171) (RING-type E3 ubiquitin transferase MARCHF1)	MARCHF1 MARCH1 RNF171	Homo sapiens (Human)	289
Q8TCS8	reviewed	PNPT1_HUMAN	Polyribonucleotide nucleotidyltransferase 1, mitochondrial, EC 2.7.7.8 (3'-5' RNA exonuclease OLD35) (PNPase old-35) (Polynucleotide phosphorylase 1, PNPase 1) (Polynucleotide phosphorylase-like protein)	PNPT1 PNPASE	Homo sapiens (Human)	783
Q8TCT0	reviewed	CERK1_HUMAN	Ceramide kinase, hCERK, EC 2.7.1.138 (Acylsphingosine kinase) (Lipid kinase 4, LK4)	CERK KIAA1646	Homo sapiens (Human)	537
Q8TCT1	reviewed	PHOP1_HUMAN	Phosphoethanolamine/phosphocholine phosphatase, EC 3.1.3.75	PHOSPHO1	Homo sapiens (Human)	267
Q8TCT6	reviewed	SPPL3_HUMAN	Signal peptide peptidase-like 3, SPP-like 3, EC 3.4.23.- (Intramembrane protease 2, IMP-2) (Presenilin homologous protein 1, PSH1) (Presenilin-like protein 4)	SPPL3 IMP2 PSL4	Homo sapiens (Human)	384
Q8TCT7	reviewed	SPP2B_HUMAN	Signal peptide peptidase-like 2B, SPP-like 2B, SPPL2b, EC 3.4.23.- (Intramembrane protease 4, IMP-4) (Presenilin homologous protein 4, PSH4) (Presenilin-like protein 1)	SPPL2B IMP4 KIAA1532 PSL1	Homo sapiens (Human)	592
Q8TCT8	reviewed	SPP2A_HUMAN	Signal peptide peptidase-like 2A, SPP-like 2A, SPPL2a, EC 3.4.23.- (Intramembrane protease 3, IMP-3) (Presenilin-like protein 2)	SPPL2A IMP3 PSL2 PSEC0147	Homo sapiens (Human)	520
Q8TCT9	reviewed	HM13_HUMAN	Minor histocompatibility antigen H13, EC 3.4.23.- (Intramembrane protease 1, IMP-1, IMPAS-1, hIMP1) (Presenilin-like protein 3) (Signal peptide peptidase)	HM13 H13 IMP1 PSL3 SPP MSTP086	Homo sapiens (Human)	377
Q8TCU4	reviewed	ALMS1_HUMAN	Alstrom syndrome protein 1	ALMS1 KIAA0328	Homo sapiens (Human)	4168
Q8TCU5	reviewed	NMD3A_HUMAN	Glutamate receptor ionotropic, NMDA 3A, GluN3A (N-methyl-D-aspartate receptor subtype 3A, NMDAR3A, NR3A) (NMDAR-L)	GRIN3A KIAA1973	Homo sapiens (Human)	1115
Q8TCU6	reviewed	PREX1_HUMAN	Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein, P-Rex1, PtdIns(3,4,5)-dependent Rac exchanger 1	PREX1 KIAA1415	Homo sapiens (Human)	1659
Q8TCX1	reviewed	DC2L1_HUMAN	Cytoplasmic dynein 2 light intermediate chain 1, Dynein 2 light intermediate chain	DYNC2LI1 D2LIC LIC3 CGI-60	Homo sapiens (Human)	351
Q8TCX5	reviewed	RHPN1_HUMAN	Rhophilin-1 (GTP-Rho-binding protein 1)	RHPN1 KIAA1929	Homo sapiens (Human)	670
Q8TCY5	reviewed	MRAP_HUMAN	Melanocortin-2 receptor accessory protein (B27) (Fat cell-specific low molecular weight protein) (Fat tissue-specific low MW protein)	MRAP C21orf61 FALP	Homo sapiens (Human)	172
Q8TCY9	reviewed	URGCP_HUMAN	Up-regulator of cell proliferation (HBV X protein up-regulated gene 4 protein) (HBxAg up-regulated gene 4 protein)	URGCP KIAA1507 URG4	Homo sapiens (Human)	931
Q8TCZ2	reviewed	C99L2_HUMAN	CD99 antigen-like protein 2 (MIC2-like protein 1) (CD antigen CD99)	CD99L2 MIC2L1 UNQ1964/PRO4486	Homo sapiens (Human)	262
Q8TD06	reviewed	AGR3_HUMAN	Anterior gradient protein 3, AG-3, AG3, hAG-3 (Anterior gradient 3 homolog) (Breast cancer membrane protein 11) (Protein disulfide isomerase family A, member 18)	AGR3 BCMP11 PDIA18 UNQ642/PRO1272	Homo sapiens (Human)	166
Q8TD07	reviewed	RAE1E_HUMAN	Retinoic acid early transcript 1E (Lymphocyte effector toxicity activation ligand) (NKG2D ligand 4, N2DL-4, NKG2DL4) (RAE-1-like transcript 4) (UL16-binding protein 4)	RAET1E LETAL N2DL4 ULBP4 UNQ1867/PRO4303	Homo sapiens (Human)	263
Q8TD08	reviewed	MK15_HUMAN	Mitogen-activated protein kinase 15, MAP kinase 15, MAPK 15, EC 2.7.11.24 (Extracellular signal-regulated kinase 7, ERK-7) (Extracellular signal-regulated kinase 8, ERK-8)	MAPK15 ERK7 ERK8	Homo sapiens (Human)	544
Q8TD10	reviewed	MIPO1_HUMAN	Mirror-image polydactyly gene 1 protein	MIPOL1	Homo sapiens (Human)	442
Q8TD16	reviewed	BICD2_HUMAN	Protein bicaudal D homolog 2, Bic-D 2	BICD2 KIAA0699	Homo sapiens (Human)	824
Q8TD17	reviewed	ZN398_HUMAN	Zinc finger protein 398 (Zinc finger DNA-binding protein p52/p71)	ZNF398 KIAA1339 ZER6	Homo sapiens (Human)	642
Q8TD19	reviewed	NEK9_HUMAN	Serine/threonine-protein kinase Nek9, EC 2.7.11.1 (Nercc1 kinase) (Never in mitosis A-related kinase 9, NimA-related protein kinase 9) (NimA-related kinase 8, Nek8)	NEK9 KIAA1995 NEK8 NERCC	Homo sapiens (Human)	979
Q8TD23	reviewed	ZN675_HUMAN	Zinc finger protein 675 (TRAF6-binding zinc finger protein) (TRAF6-inhibitory zinc finger protein)	ZNF675 TIZ	Homo sapiens (Human)	568
Q8TD26	reviewed	CHD6_HUMAN	Chromodomain-helicase-DNA-binding protein 6, CHD-6, EC 3.6.4.12 (ATP-dependent helicase CHD6) (Radiation-induced gene B protein)	CHD6 CHD5 KIAA1335 RIGB	Homo sapiens (Human)	2715
Q8TD30	reviewed	ALAT2_HUMAN	Alanine aminotransferase 2, ALT2, EC 2.6.1.2 (Glutamate pyruvate transaminase 2, GPT 2) (Glutamic--alanine transaminase 2) (Glutamic--pyruvic transaminase 2)	GPT2 AAT2 ALT2	Homo sapiens (Human)	523
Q8TD31	reviewed	CCHCR_HUMAN	Coiled-coil alpha-helical rod protein 1 (Alpha-helical coiled-coil rod protein) (Putative gene 8 protein, Pg8)	CCHCR1 C6orf18 HCR	Homo sapiens (Human)	782
Q8TD43	reviewed	TRPM4_HUMAN	Transient receptor potential cation channel subfamily M member 4, hTRPM4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4, LTrpC-4, LTrpC4) (Melastatin-4)	TRPM4 LTRPC4	Homo sapiens (Human)	1214
Q8TD46	reviewed	MO2R1_HUMAN	Cell surface glycoprotein CD200 receptor 1 (CD200 cell surface glycoprotein receptor) (Cell surface glycoprotein OX2 receptor 1)	CD200R1 CD200R CRTR2 MOX2R OX2R UNQ2522/PRO6015	Homo sapiens (Human)	325
Q8TD57	reviewed	DYH3_HUMAN	Dynein axonemal heavy chain 3 (Axonemal beta dynein heavy chain 3, HsADHC3) (Ciliary dynein heavy chain 3) (Dnahc3-b)	DNAH3 DNAHC3B	Homo sapiens (Human)	4116
Q8TD84	reviewed	DSCL1_HUMAN	Down syndrome cell adhesion molecule-like protein 1 (Down syndrome cell adhesion molecule 2)	DSCAML1 DSCAM2 KIAA1132	Homo sapiens (Human)	2053
Q8TD91	reviewed	MAGC3_HUMAN	Melanoma-associated antigen C3 (Cancer/testis antigen 7.2, CT7.2) (Hepatocellular carcinoma-associated antigen 2) (MAGE-C3 antigen)	MAGEC3 HCA2	Homo sapiens (Human)	643
Q8TDB4	reviewed	HUMMR_HUMAN	Protein MGARP (Corneal endothelium-specific protein 1, CESP-1) (Hypoxia up-regulated mitochondrial movement regulator protein) (Mitochondria-localized glutamic acid-rich protein) (Ovary-specific acidic protein)	MGARP C4orf49 CESP1 HUMMR OSAP GS3582	Homo sapiens (Human)	240
Q8TDB6	reviewed	DTX3L_HUMAN	E3 ubiquitin-protein ligase DTX3L, EC 2.3.2.27 (B-lymphoma- and BAL-associated protein) (Protein deltex-3-like) (RING-type E3 ubiquitin transferase DTX3L) (Rhysin-2, Rhysin2)	DTX3L BBAP	Homo sapiens (Human)	740
Q8TDB8	reviewed	GTR14_HUMAN	Solute carrier family 2, facilitated glucose transporter member 14 (Glucose transporter type 14, GLUT-14)	SLC2A14 GLUT14	Homo sapiens (Human)	520
Q8TDC0	reviewed	MYOZ3_HUMAN	Myozenin-3 (Calsarcin-3) (FATZ-related protein 3)	MYOZ3 FRP3	Homo sapiens (Human)	251
Q8TDC3	reviewed	BRSK1_HUMAN	Serine/threonine-protein kinase BRSK1, EC 2.7.11.1 (Brain-selective kinase 1, EC 2.7.11.26) (Brain-specific serine/threonine-protein kinase 1, BR serine/threonine-protein kinase 1) (Serine/threonine-protein kinase SAD-B) (Synapses of Amphids Defective homolog 1, SAD1 homolog, hSAD1)	BRSK1 KIAA1811 SAD1 SADB	Homo sapiens (Human)	778
Q8TDD1	reviewed	DDX54_HUMAN	ATP-dependent RNA helicase DDX54, EC 3.6.4.13 (ATP-dependent RNA helicase DP97) (DEAD box RNA helicase 97 kDa) (DEAD box protein 54)	DDX54	Homo sapiens (Human)	881
Q8TDD2	reviewed	SP7_HUMAN	Transcription factor Sp7 (Zinc finger protein osterix)	SP7 OSX	Homo sapiens (Human)	431
Q8TDD5	reviewed	MCLN3_HUMAN	Mucolipin-3 (Transient receptor potential channel mucolipin 3, TRPML3)	MCOLN3	Homo sapiens (Human)	553
Q8TDE3	reviewed	RNAS8_HUMAN	Ribonuclease 8, RNase 8, EC 3.1.27.-	RNASE8	Homo sapiens (Human)	154
Q8TDF5	reviewed	NETO1_HUMAN	Neuropilin and tolloid-like protein 1 (Brain-specific transmembrane protein containing 2 CUB and 1 LDL-receptor class A domains protein 1)	NETO1 BTCL1	Homo sapiens (Human)	533
Q8TDF6	reviewed	GRP4_HUMAN	RAS guanyl-releasing protein 4	RASGRP4	Homo sapiens (Human)	673
Q8TDG2	reviewed	ACTT1_HUMAN	Actin-related protein T1, ARP-T1	ACTRT1 ARPT1 HSD27	Homo sapiens (Human)	376
Q8TDG4	reviewed	HELQ_HUMAN	Helicase POLQ-like, EC 3.6.4.12 (Mus308-like helicase) (POLQ-like helicase)	HELQ HEL308	Homo sapiens (Human)	1101
Q8TDH9	reviewed	BL1S5_HUMAN	Biogenesis of lysosome-related organelles complex 1 subunit 5, BLOC-1 subunit 5 (Protein Muted homolog)	BLOC1S5 MUTED	Homo sapiens (Human)	187
Q8TDI0	reviewed	CHD5_HUMAN	Chromodomain-helicase-DNA-binding protein 5, CHD-5, EC 3.6.4.12 (ATP-dependent helicase CHD5)	CHD5 KIAA0444	Homo sapiens (Human)	1954
Q8TDI7	reviewed	TMC2_HUMAN	Transmembrane channel-like protein 2 (Transmembrane cochlear-expressed protein 2)	TMC2 C20orf145 UNQ907/PRO1928	Homo sapiens (Human)	906
Q8TDI8	reviewed	TMC1_HUMAN	Transmembrane channel-like protein 1 (Transmembrane cochlear-expressed protein 1)	TMC1	Homo sapiens (Human)	760
Q8TDJ6	reviewed	DMXL2_HUMAN	DmX-like protein 2 (Rabconnectin-3)	DMXL2 KIAA0856	Homo sapiens (Human)	3036
Q8TDL5	reviewed	BPIB1_HUMAN	BPI fold-containing family B member 1 (Long palate, lung and nasal epithelium carcinoma-associated protein 1) (von Ebner minor salivary gland protein, VEMSGP)	BPIFB1 C20orf114 LPLUNC1 UNQ706/PRO1357	Homo sapiens (Human)	484
Q8TDM6	reviewed	DLG5_HUMAN	Disks large homolog 5 (Discs large protein P-dlg) (Placenta and prostate DLG)	DLG5 KIAA0583 PDLG	Homo sapiens (Human)	1919
Q8TDN1	reviewed	KCNG4_HUMAN	Potassium voltage-gated channel subfamily G member 4 (Voltage-gated potassium channel subunit Kv6.4)	KCNG4 KCNG3	Homo sapiens (Human)	519
Q8TDN2	reviewed	KCNV2_HUMAN	Potassium voltage-gated channel subfamily V member 2 (Voltage-gated potassium channel subunit Kv8.2)	KCNV2	Homo sapiens (Human)	545
Q8TDN4	reviewed	CABL1_HUMAN	CDK5 and ABL1 enzyme substrate 1 (Interactor with CDK3 1, Ik3-1)	CABLES1 CABLES	Homo sapiens (Human)	633
Q8TDN7	reviewed	ACER1_HUMAN	Alkaline ceramidase 1, AlkCDase 1, Alkaline CDase 1, EC 3.5.1.-, EC 3.5.1.23 (Acylsphingosine deacylase 3) (N-acylsphingosine amidohydrolase 3)	ACER1 ASAH3	Homo sapiens (Human)	264
Q8TDP1	reviewed	RNH2C_HUMAN	Ribonuclease H2 subunit C, RNase H2 subunit C (Aicardi-Goutieres syndrome 3 protein, AGS3) (RNase H1 small subunit) (Ribonuclease HI subunit C)	RNASEH2C AYP1	Homo sapiens (Human)	164
Q8TDQ0	reviewed	HAVR2_HUMAN	Hepatitis A virus cellular receptor 2, HAVcr-2 (T-cell immunoglobulin and mucin domain-containing protein 3, TIMD-3) (T-cell immunoglobulin mucin receptor 3, TIM-3) (T-cell membrane protein 3) (CD antigen CD366)	HAVCR2 TIM3 TIMD3	Homo sapiens (Human)	301
Q8TDQ1	reviewed	CLM1_HUMAN	CMRF35-like molecule 1, CLM-1 (CD300 antigen-like family member F) (Immune receptor expressed on myeloid cells 1, IREM-1) (Immunoglobulin superfamily member 13, IgSF13) (NK inhibitory receptor) (CD antigen CD300f)	CD300LF CD300F CLM1 IGSF13 IREM1 NKIR UNQ3105/PRO10111	Homo sapiens (Human)	290
Q8TDQ7	reviewed	GNPI2_HUMAN	Glucosamine-6-phosphate isomerase 2, EC 3.5.99.6 (Glucosamine-6-phosphate deaminase 2, GNPDA 2, GlcN6P deaminase 2) (Glucosamine-6-phosphate isomerase SB52)	GNPDA2 GNP2	Homo sapiens (Human)	276
Q8TDR0	reviewed	MIPT3_HUMAN	TRAF3-interacting protein 1 (Interleukin-13 receptor alpha 1-binding protein 1) (Intraflagellar transport protein 54 homolog) (Microtubule-interacting protein associated with TRAF3, MIP-T3)	TRAF3IP1 IFT54 MIPT3	Homo sapiens (Human)	691
Q8TDR2	reviewed	STK35_HUMAN	Serine/threonine-protein kinase 35, EC 2.7.11.1 (CLP-36-interacting kinase 1, CLIK-1) (PDLIM1-interacting kinase 1) (Serine/threonine-protein kinase 35 L1)	STK35 CLIK1 PDIK1 STK35L1	Homo sapiens (Human)	534
Q8TDR4	reviewed	TCP1L_HUMAN	T-complex protein 10A homolog 1, T-complex protein 10A-1, TCP10A-1 (TCP10-like)	TCP10L PRED77	Homo sapiens (Human)	215
Q8TDS4	reviewed	HCAR2_HUMAN	Hydroxycarboxylic acid receptor 2 (G-protein coupled receptor 109A) (G-protein coupled receptor HM74A) (Niacin receptor 1) (Nicotinic acid receptor)	HCAR2 GPR109A HCA2 HM74A NIACR1	Homo sapiens (Human)	363
Q8TDS5	reviewed	OXER1_HUMAN	Oxoeicosanoid receptor 1 (5-oxo-ETE G-protein coupled receptor) (G-protein coupled receptor 170) (G-protein coupled receptor R527) (G-protein coupled receptor TG1019)	OXER1 GPR170 TG1019	Homo sapiens (Human)	423
Q8TDT2	reviewed	GP152_HUMAN	Probable G-protein coupled receptor 152 (G-protein coupled receptor PGR5)	GPR152 PGR5	Homo sapiens (Human)	470
Q8TDU6	reviewed	GPBAR_HUMAN	G-protein coupled bile acid receptor 1 (G-protein coupled receptor GPCR19, hGPCR19) (Membrane-type receptor for bile acids, M-BAR) (hBG37, BG37)	GPBAR1 TGR5	Homo sapiens (Human)	330
Q8TDU9	reviewed	RL3R2_HUMAN	Relaxin-3 receptor 2, RLN3 receptor 2 (G-protein coupled receptor 100) (G-protein coupled receptor GPCR142) (Insulin-like peptide INSL5 receptor) (Relaxin family peptide receptor 4)	RXFP4 GPCR142 GPR100 RLN3R2	Homo sapiens (Human)	374
Q8TDV0	reviewed	GP151_HUMAN	G-protein coupled receptor 151 (G-protein coupled receptor PGR7) (GPCR-2037) (Galanin receptor 4) (Galanin-receptor-like protein, GalRL)	GPR151 GALR4 GALRL PGR7	Homo sapiens (Human)	419
Q8TDW0	reviewed	LRC8C_HUMAN	Volume-regulated anion channel subunit LRRC8C (Factor for adipocyte differentiation 158) (Leucine-rich repeat-containing protein 8C)	LRRC8C AD158 FAD158	Homo sapiens (Human)	803
Q8TDW5	reviewed	SYTL5_HUMAN	Synaptotagmin-like protein 5	SYTL5 SLP5	Homo sapiens (Human)	730
Q8TDW7	reviewed	FAT3_HUMAN	Protocadherin Fat 3, hFat3 (Cadherin family member 15) (FAT tumor suppressor homolog 3)	FAT3 CDHF15 KIAA1989	Homo sapiens (Human)	4557
